Year,CountyFIPS,Age_0_4_Y,Age_10_14_Y,Age_15_19_Y,Age_20_24_Y,Age_25_29_Y,Age_30_34_Y,Age_35_39_Y,Age_40_44_Y,Age_45_49_Y,Age_50_54_Y,Age_55_59_Y,Age_5_9_Y,Age_60_64_Y,Age_65_69_Y,Age_70_74_Y,Age_75_79_Y,Age_80_84_Y,Age_85_Plus_Y,Origin_H,Origin_NH,Race_AIAN,Race_AS,Race_B,Race_W,Sex_F,Sex_M,Personal Income,Per Capita PI,GDP,Labor Force,UnemploymentRate,Total_Active_MDs,Total_MDs,Emergency_Patn_Care,Psychiatry_Tot,MD_Less_35,MD_35_44,MD_45_54,MD_55_64,MD_65_74,MD_75_Plus,Total_Hospitals,Hospital_Beds,Nursing_Facility_Beds,Home_Health_Agencies,Comm_Mental_Health_Ctrs,BENES_FFS_CNT,BENE_AVG_AGE,BENES_ER_VISITS_PCT,BENE_DUAL_PCT,TOT_MDCR_STDZD_PYMT_AMT,TOT_MDCR_STDZD_PYMT_PC,IP_MDCR_PYMT_PER_USER,BENES_OP_PCT,ASC_MDCR_STDZD_PYMT_AMT,IRF_MDCR_STDZD_PYMT_AMT,IP_MDCR_PYMT_AMT,Murder and Nonnegligent Manslaughter,Manslaughter by Negligence,Rape,Robbery,Aggravated Assault,Other Assaults - Simple,Burglary,Larceny - Theft,Motor Vehicle Theft,Arson,Human Trafficking,opioid_dispensing_rate,Heroin Incident Count,Average Heroin Quantity,Heroin Arrests,Heroin Drug Quantity,Fentanyl Incident Count,Fentanyl Arrests,Average Fentanyl Quantity,Fentanyl Drug Quantity,WT_BUPRENORPHINE,WT_CODEINE,WT_DIHYDROCODEINE,WT_FENTANYL,WT_HYDROCODONE,WT_HYDROMORPHONE,WT_LEVORPHANOL,WT_MEPERIDINE,WT_METHADONE,WT_MORPHINE,"WT_OPIUM, POWDERED",WT_OXYCODONE,WT_OXYMORPHONE,WT_TAPENTADOL,QS_BUPRENORPHINE,QS_CODEINE,QS_DIHYDROCODEINE,QS_FENTANYL,QS_HYDROCODONE,QS_HYDROMORPHONE,QS_LEVORPHANOL,QS_MEPERIDINE,QS_METHADONE,QS_MORPHINE,"QS_OPIUM, POWDERED",QS_OXYCODONE,QS_OXYMORPHONE,QS_TAPENTADOL,Total_Opioids_Q_Weight,Total_Opioids_Q_Sales,Total_Dispensations,Total_Prescriptions,Total_Incidents,Survival_N,Drug_Pharma_Opioid,Drug_Pharma_Other,Drug_Pharma_Stimulant,Drug_Fentanyl,Drug_Heroin,Drug_Unknown,Drug_Pharma_Total,Drug_Illicit_Total,Avg_ED_Visits_All,Avg_ED_Visits_Heroin,Avg_ED_Visits_Stimulant,n_quarters_observed,Deaths,Flag,Population,GDP Per Capita,CZ,Population_vol,GDP_vol,UnemploymentRate_vol,Total Crime_vol,opioid_dispensing_rate_vol,Deaths_vol,Heroin Incident Count_vol,Average Heroin Quantity_vol,Fentanyl Incident Count_vol,Average Fentanyl Quantity_vol,Total_Dispensations_vol,Total_Prescriptions_vol,Total_Opioids_Q_Weight_vol,Total_Opioids_Q_Sales_vol
2007,42001,567.6503950170146,675.1109430658096,773.4174444289665,637.3007502338261,523.1736681857078,546.2577859147082,679.2899643788184,775.506955085471,783.8649977114884,736.602256671509,671.4294242900638,623.8681817277268,549.6408031680962,424.3696642852879,334.62020656305344,283.47694573242325,219.79662096276692,194.62299257726215,539.0937493781219,9460.906250621878,32.43716542954369,76.316889216135,198.60301287536566,9692.642932478955,5085.669936916678,4914.330063083322,3525804.0,35082.0,2802355.0,5594.4160315217605,3.5,10.248552267616564,12.139061909215737,0.7960040596207041,0.09950050745258801,0.7960040596207041,2.4875126863147,3.781019283198344,2.388012178862112,1.194006089431056,1.293506596883644,0.09950050745258801,9.45254820799586,0.0,0.0,0.0,1342.3613460428649,74,2876.0,944.0,9666054.891444946,7200.78,14481.9,8298.0,128446.3602714374,174072.61348032876,3520256.055600883,0.0,0.0,3.8805197906509328,2.686513701219876,8.95504567073292,42.68571769716026,31.840162384828165,104.57503333266999,6.567033491870808,1.0945055819784681,0.0,5080.0,,,,,,,,,44.11524148773159,374.07046594396127,0.04712962926110923,57.9273845296611,550.8973537465921,71.02125613420628,0.0,240.54655628743708,443.69692742432994,3499.418215408649,1.898469682195379,4897.697654275537,9.009586873893058,0.0,130.64416628524805,45.17323038347495,0.09950050745258801,569.1429026288034,365.3658633659031,166.46434896817973,0.0,39.899703488487795,126.56464547969195,362.0823466199678,1.0945055819784681,998.1890907643628,6.069530954607869,0.0,10190.346241423453,2810.7898350281584,,,,,,,,,,,,,,,,,,1,100502,27.883574456229727,488,0.006017952204233623,0.02489778251998942,0.0,0.12367620731036366,0.02390552085355324,,,,,,,,0.1782011531925427,0.13665274409073191
2008,42001,576.0172577580747,658.5457568081064,769.4743508549715,637.9631095630147,514.3682710576314,530.8937618746041,660.3269474350855,757.6987017099431,778.5782140595314,754.4331855604813,676.2587080430653,620.4480683977201,569.5851804939836,451.92764407853076,339.3168144395187,280.14170360987964,220.96659278024066,203.05573147561748,562.7572830905636,9437.242716909437,33.05098163394553,81.93476884103863,209.88362887903736,9675.13062064598,5085.497150094996,4914.502849905003,3731300.0,36923.0,2943323.0,5608.672419252692,4.4,10.48923369221026,12.468334388853705,0.7916402786573781,0.09895503483217226,1.187460417986067,2.0780557314756174,3.6613362887903738,2.968651044965168,1.187460417986067,1.2864154528182392,0.09895503483217226,9.400728309056365,0.0,0.0,0.0,1275.4314439518682,74,2839.0,1013.0,9817139.249525016,7697.11,14762.73,8377.0,158685.72969442685,182729.1650174161,3443215.7209863835,0.19791006966434452,0.0,3.7602913236225457,1.9791006966434452,6.728942368587713,59.37302089930336,26.420994300189992,100.04354021532616,5.838347055098163,0.5937302089930335,0.0,5080.0,,,,,,,,,86.8746204777549,332.32648234642176,0.0,65.62779270899303,591.9595827382838,73.09822154053198,0.0,225.38644464455348,1686.8607558185558,2943.3427242291405,8.977200759974668,5076.500286395662,25.600558106396456,0.0,178.91070297656745,37.89977834072197,0.0,552.2680493983534,378.1071880937302,194.44664344521848,0.0,32.55620645978467,166.1455034832172,385.5288157061431,3.3644711842938566,1040.90801139962,12.171469284357189,0.0,11116.554669766268,2982.3068397720076,,,,,,,,,,,,,,,,,1.088505383153895,0,101056,29.125662998733375,488,0.005497190834546473,0.049079080075463466,0.2288415724288484,0.007524666098145172,0.0,,,,,,,,0.08699458375180669,0.05923158442558751
2009,42001,561.6679176707621,653.8142456445305,752.6764903409315,648.28349069648,509.4220361079287,527.4957531703078,625.962943941848,728.3806739619957,785.1696756607276,763.9355271994627,699.3442104847311,608.0867538418994,593.9635760281278,471.7931497649429,355.1534784498084,283.747481531229,221.52648836566192,209.57610713862442,588.4328210800775,9411.567178919922,34.07340101923913,82.76379725832577,205.5268044088018,9677.635997313633,5085.0353573262755,4914.9646426737245,3726646.0,36806.0,3082755.0,5458.855133725754,7.4,10.416470142792189,12.588158387499526,0.7406103591078264,0.09873326309882002,0.8892646830894368,2.0733985250752203,3.4561077519254053,3.2082766213782703,1.3325663942340418,1.431299657332862,0.09876348121518587,9.382530715442657,0.0,0.0,0.0,1249.753091296962,74,3009.0,1046.0,10207198.055347055,8167.37,15959.69,8418.0,134459.75684430925,205620.3116975467,3672626.850827638,0.2962904436455576,0.09876348121518587,2.370323549164461,2.271560067949275,8.197368940860429,63.01110101528859,28.542646071188717,101.3313317267807,6.024572354126339,1.3826887370126022,0.0,5020.0,,,,,,,,,110.36869919606526,300.9485215106862,0.0,75.90328388575041,709.8979721961048,91.80054945087505,0.0,100.14520700825662,1169.9845928969303,2922.1980886501005,9.742029787065935,5405.036128062656,86.9174584205744,133.08379093746296,203.55153478449807,38.12270374906175,0.0,642.7527357484297,433.57168253466597,201.87255560383994,0.0,19.752696243037178,209.6748706198396,460.04029550033584,4.049302729822621,1111.1879271520563,27.851301702682417,7.012207166278197,11116.026322002528,3359.4398135345477,,,,,,,,,,,,,,,,,1.580215699442974,0,101252,30.446361553352034,488,0.001937640244801031,0.04628446251284046,0.5198754592859078,0.03912685631396595,-0.011881327886751336,0.3727558091966089,,,,,,,-4.75291432895375e-05,0.11907712955625982
2010,42001,550.5807252415995,643.0830156337737,736.6689324309681,650.8654234516456,511.57017466087416,519.4510939701116,596.2900572351765,709.7752952881954,789.7666262769552,772.231580813902,715.1934273132961,597.0781491661003,629.6854528080701,485.0705834835634,359.3699205012265,291.49550295041917,222.73448197732264,219.08955679680037,605.7471604062614,9394.252839593739,35.4641368915684,84.42434810020589,202.53962624740177,9677.571888760824,5080.828678665367,4919.171321334634,3812958.0,37567.0,3062586.0,5364.64028528928,7.4,10.343706593374117,12.707982386145344,0.6895804395582745,0.09851149136546779,0.5910689481928068,2.068741318674823,3.250879215060437,3.4479021977913726,1.4776723704820167,1.5761838618474846,0.09851149136546779,7.486873343775551,0.0,0.0,0.0,1257.4991872801963,74,2908.0,1122.0,10577837.088591384,8411.8,16371.84,8353.0,115666.97008206008,230662.92125976496,3643348.3917999035,0.39404596546187115,0.0,8.570499748795697,2.1672528100402912,8.767522731526633,62.94884298253391,22.657643014057587,97.62488794317858,4.43301711144605,1.7732068445784201,0.0,4880.0,,,,,,,,,159.44393733191478,288.2886692082632,0.0,77.72779304705894,648.1937390538956,87.79231020086493,0.0,47.21902059875284,1314.317147895302,3392.688111371181,8.688713538434259,5866.71973038981,108.6222773886574,256.8687137354573,198.4021436100521,31.129631271487817,0.0,616.8789589305593,424.6830392765316,212.29226389258307,0.0,11.033287032932392,217.02081547812554,696.7717784279537,3.8419481632532437,1277.2999970446554,39.010550580725244,17.140999497591395,12256.570163759592,3745.5054132064506,,,,,,,,,,,,,,,,,1.379160879116549,0,101511,30.16999142950025,488,0.0025547081160208762,-0.006564020586443675,0.0,-0.02237133307267758,-0.02828471383858222,-0.13608610074054306,,,,,,,0.09767425329485313,0.10878232674769173
2011,42001,538.7364503647694,645.2629195341191,727.5698772287366,661.3108072185958,506.93603489184903,516.6829114609485,565.712654202479,695.9663683531717,777.3872463596892,782.7037244882889,727.4714239300588,588.3569128983667,662.0984336080181,494.62937255712757,369.5936832363568,292.20939047562786,223.98125449193174,223.39053469986513,619.0743420858316,9380.92565791417,36.52617380945348,83.38994398007304,208.13027340481045,9671.953608805663,5068.868082425102,4931.131917574899,3968960.0,39063.0,3176398.0,5319.628634157387,6.5,10.042236465132763,12.50356893207707,0.5907197920666333,0.0,0.689720234135822,2.019835059435958,3.0543629876731107,3.4485137990681425,1.7243005853395548,1.5271902309976522,0.0984532986777722,7.482450699510688,0.0,0.0,0.0,1262.5651022437505,74,3061.0,1191.0,10936705.802837426,8662.29,16271.1,8277.0,108916.97334869204,205542.2768309852,3807820.3227299126,0.0,0.0984532986777722,2.559785765622077,1.7721593761998997,9.84532986777722,60.45032538815212,25.499404357543,94.61362002933907,4.725758336533066,0.7876263894221776,0.0,4800.0,,,,,,,,,111.72500460761438,305.61792440755727,0.0,85.10836262318969,778.680324789556,122.16706962223468,0.0,46.2473048409487,1546.362485355072,3396.8175654862116,1.7012730011519037,6898.282069462741,175.13339437437853,260.8027881974186,168.2566874403127,33.17876165440923,0.0,737.7105669925471,492.7587598822498,246.03479339575273,0.0,8.270077088932865,216.99107028580994,499.35513089366054,1.9690659735554439,1375.195675931122,60.548778686829905,21.85663230646543,13728.645566768075,3862.1260005316476,,,,,,,,,,,,,,,,,1.0829862854554941,0,101571,31.272686101347826,488,0.0005908943357439966,0.0364881932858836,-0.12967782330853161,-0.044457772153309705,-0.01652930195121094,-0.24175295115263218,,,,,,,0.11342243408058472,0.030661244533593646
2012,42001,522.8874106922888,630.8943089430895,721.2613944321262,675.9300320275929,502.389751170239,508.9923626508992,547.9182064547919,683.6166543483616,761.7639812761764,782.2616407982263,742.350332594235,586.8440502586844,662.2320768662232,536.3882729736389,387.5831485587583,296.5262379896526,222.22222222222223,227.9379157427938,628.3321015028333,9371.667898497168,37.841832963784185,85.14412416851441,214.04286770140428,9662.971175166298,5063.611727026361,4936.388272973639,4052496.0,39929.0,3334887.0,5398.965262379897,6.2,10.051736881005173,12.811037201281104,0.5912786400591279,0.0,0.7883715200788372,1.9709288001970928,2.857846760285785,3.4491254003449123,1.9709288001970928,1.4781966001478197,0.09854644000985464,7.489529440748953,0.0,0.0,0.0,1281.7935452081795,73,3076.9999999999995,1159.0,11100200.150776055,8659.9,16915.8,8291.0,114833.49002217295,285478.38975117024,3734062.0862281355,0.5912786400591279,0.0,1.5767430401576743,0.7883715200788372,8.672086720867208,55.48164572554816,27.100271002710027,95.09731460950974,4.927322000492732,1.1825572801182558,0.0,5040.0,,,,,,,,,166.98508969696968,297.55973589554077,0.0,115.12101936437546,808.6349836856368,171.53234694259672,0.0,40.10746489283075,1439.0166642030056,2838.2707831485586,1.8447893569844789,8805.214430679478,153.2548238482385,638.3838383838383,207.93298842079332,31.239221483123924,0.0,4986.449864498645,583.9862034983986,236.70854890367087,0.0,5.51860064055186,208.22862774082284,633.4565163833457,1.379650160137965,1474.7474747474748,66.12466124661246,42.177876324217785,15475.925970098053,8477.950234047796,,,,,,,,,,,,,,,,,,1,101475,32.864124168514415,488,-0.0009455986047814946,0.0486909453399722,-0.04725288485054513,-0.02399377214733578,0.04879016416943216,,,,,,,,0.11980108610613627,0.7862508937079635
2013,42001,517.7834060963231,631.6090311517577,701.3826610558682,681.6725961112041,505.5631658306314,517.1921041479832,531.4819012328645,656.2466123325876,745.2375555577456,780.6171221334174,757.063594524544,581.6440165170344,672.8030668861054,556.4151333878646,413.7142631884972,299.987188457786,220.1614254318968,229.42515595588887,642.7452178454928,9357.254782154507,38.92737826571139,89.08949354988125,220.35852608134343,9651.624602103064,5056.222960254654,4943.777039745346,4132615.0,40721.0,3447706.0,5464.516955583368,5.6,10.347784095948596,13.205743512924874,0.5913019483399198,0.0,0.7884025977865596,1.8724561697430793,2.9565097416995987,3.1536103911462385,2.5623084428063194,1.5768051955731193,0.09855032472331995,7.489824678972317,0.0,0.0,0.0,1305.2005006356496,73,3040.0,1112.0,11293971.69043372,8653.05,15871.97,8331.0,117240.24696711377,351627.9675966532,3700867.49021888,0.09855032472331995,0.0,3.252160715869559,1.7739058450197593,5.617368509229237,61.98815425096826,29.07234579337939,96.97351952774683,3.942012988932799,0.2956509741699599,0.0,4890.0,1.1826038966798396,0.0007756666666666,0.49275162361659985,0.0009173064225246623,0.0,0.0,0.0,0.0,227.43124710015672,241.51994165820773,0.0,159.08444580224892,708.9537044091416,144.6556709779149,0.0,26.699999260872566,1286.453075262883,1698.2580314326262,1.4191246760158076,9040.234754264766,162.0877063397424,556.2673079007795,299.2973361847227,23.94772890776675,0.0,11814.114377506874,559.3716431295641,247.16421440608644,0.0,5.321717535059278,188.4282208709878,476.09661873835876,0.9855032472331997,1403.0609730859064,64.1562613948813,41.68678735796435,14253.065009085354,15123.631382365405,,,,,,,,,,,,,,,,,,1,101471,33.977254585053856,488,-3.941935293738652e-05,0.03327028660960707,-0.10178269430994291,0.0381739719697034,-0.03021377859649732,,,,,,,,-0.08231368135402128,0.5787898098040216
2014,42001,522.4232423831693,623.7845482939479,688.7068576030802,681.929793545092,516.0390516039051,520.8517492682735,523.1107706209363,624.6685131710767,720.6278114994008,789.0859803170487,758.9329561749857,565.6393030428036,694.1088651855345,585.1847486593199,428.42831044846486,306.24472076531714,221.7769658396684,228.45581157797554,658.3573968216552,9341.642603178345,39.68020115111871,97.03969984481505,230.61661461095724,9632.66348439311,5057.8505902921015,4942.1494097078985,4332931.0,42561.0,3528067.0,5440.705600408589,4.7,9.821831968098689,12.964818197890269,0.6875282377669083,0.0,0.5895118915632733,1.8639534000540086,2.5524631305347634,3.4810834741055556,2.501845425590619,1.7161279129690286,0.0982183196809869,7.464592295755004,0.0,0.0,0.0,1335.3762743826978,73,3013.0,1190.0,11771374.074292338,8815.02,18132.56,7982.0,131492.32914923292,379397.7252637162,4065908.519457049,0.0,0.0,3.437641188834541,1.0804015164908558,7.6610289351169785,52.448582709647,21.804466969179092,88.78936099161216,3.437641188834541,0.3928732787239476,0.0,4890.0,0.6875282377669083,0.0009528571428571,0.1964366393619738,0.0006551161922721826,0.0982183196809869,0.0982183196809869,0.0001,9.82183196809869e-06,365.4251814681674,248.56239318757733,0.0,161.11575028974406,1033.2116145736343,221.6072230400534,0.0,16.819862690789083,1338.2618343253387,1678.6887207240657,1.3082680181507456,10586.257565266073,126.68180996719508,570.1573457481289,417.52607696387525,24.751016559608697,0.0,11023.14023611684,513.1907203331566,244.6618343253384,0.0,3.241204549472567,188.57917378749485,441.982438564441,1.0804015164908558,1529.65211071169,66.59202074370911,45.86795529102088,16348.097569298921,14500.26518946314,,,,,,,,,,,,,,,,,,1,101814,34.65208124619404,488,0.003374575846720518,0.023041046549245436,-0.17520408902509033,-0.12897163879840168,0.0,,-0.5423710765794061,0.20574211522021457,,,,,0.1371395620121607,-0.042091574518581254
2015,42001,516.9871387974727,620.4040976162343,686.419077938692,672.7473364517924,533.1979179890822,521.9675589105575,520.3074188728625,595.11137586547,696.8681946465366,790.8125897208034,753.8988877061747,565.7171316686361,712.8836632454762,612.8846397984395,442.96442417554516,307.6141834552397,224.7048368668275,224.50952627415748,692.6690169041318,9307.330983095868,42.38239860938858,95.31156922295682,239.35313131707696,9622.952900850578,5040.1851544418505,4959.814845558149,4525454.0,44203.0,3713553.0,5413.326041737873,4.3,9.960840226169665,13.183465005224559,0.6835870743449771,0.09765529633499673,0.3906211853399869,1.8554506303649378,2.148416519369928,3.8085565570648723,2.4413824083749183,1.8554506303649378,0.09765529633499673,7.421802521459751,0.0,0.0,0.0,1372.056913506704,73,3073.0,1176.0,12513851.427232156,9120.5,17663.59,8288.0,124820.4607376881,487873.06764582376,4233011.298717786,0.09765529633499673,0.0,10.644427300514643,11.425669671194617,22.851339342389235,125.09643460513081,61.522836691047935,271.8723449966309,23.24196052772922,1.5624847413599476,0.3906211853399869,5260.0,1.6601400376949442,0.0235647058823529,0.8788976670149706,0.03912071171179969,0.0,0.0,0.0,0.0,364.2153274870363,305.064401714827,0.0,75.72187771603792,1524.1646839161726,163.12418951182119,0.0,40.85116356285583,1241.7102957978925,1788.0409761623423,1.0546772004179648,9712.08043403873,87.82394800832023,643.9390240329684,447.16360191795,34.17935371724886,0.0,541.9868946592318,600.5800724602299,248.82569506157165,0.0,3.5155906680598825,175.87718869932908,456.34319977343966,1.2695188523549576,1537.0943643128485,49.218269352838355,48.92530346383336,15947.790999149423,4144.979052938937,,,,,,,,,,,,,1.964,0.916,0.0,3.0,,1,102401,36.26481186707161,488,0.005748858963979586,0.05123897138134126,-0.08894748601649738,1.0770069775676236,0.07293872326283868,,0.8815543360369227,3.208040368303326,,,,,-0.02479120966714987,-1.252269203186529
2007,42003,514.5924438969245,597.5548106229785,675.4782483504869,680.5008171899464,671.2982277039662,546.92011825123,617.5714652649282,680.639878542179,797.4841347357261,785.8766018640765,684.664477677381,536.7031989019061,515.5495132034664,404.53765372414483,348.9131128311092,363.8172177586255,308.1354163087882,269.7626631721367,135.27397540413682,9864.726024595864,18.716021994597877,269.3372990358958,1368.7645298662885,8343.182149103217,5228.665943547635,4771.334056452365,53046503.0,43392.0,69410895.0,5216.3712839943655,4.3,57.6777408583521,64.12364353830976,2.0613800448595563,2.642165692419193,14.536001348077107,13.791614109655603,14.519641188990922,10.159658792522098,4.973488362200834,4.91622780539918,0.23722230674971082,64.92529133353293,0.19632190903424346,0.31084302263755215,0.03272031817237391,756.8045991679223,75,3457.0,1316.0,7505104.6933206385,9916.83,14043.71,6772.0,27518.784243857986,300677.15532825846,2754559.7050099717,0.6544063634474782,0.040900397715467385,2.0450198857733692,18.568780562822194,28.123113469155378,79.03592854536917,53.84946363218436,170.1783748145167,21.750831505085557,1.7096366245065369,0.0,8370.0,,,,,,,,,1345.1112652717995,1319.4438713711124,5.0766239067732695,1421.6978899239416,5192.550686381632,2223.653850581031,0.002887895281893721,629.3172843649232,5125.864206327783,15868.705753318494,13.943763589157141,26915.346909952208,17.29495403613305,0.0,309.6487310242605,103.8297496404855,38.34821289802222,1578.845332692015,1083.3042940509554,772.8702753905579,0.024540238629280432,60.254465914426554,234.27747811419718,653.6537961295136,2.764866885565595,1594.477464698867,6.9857879298018295,0.0,60078.00994692027,6439.284995607297,,,,,,,,,,,,,,,,,1.6932764654203498,0,1222482,56.77866422573093,456,-0.0028940104911328035,0.05546583008017336,-0.06744128079553313,-0.020135021565199418,0.06669137449867257,0.3051748823640664,,,,,,,-0.6541009856013602,0.07063628892606211
